HTTPCLIENT-569,1,the httpstate class ha clearcooki method not synchron but should consid modifi arraylist which unsynchron all other method which modifi read arraylist synchron except clearcooki method I stumbl upon fact becaus webapp I am work use httpclient threw illegalargumentexcept indic one cooki array return methodnam null which shouldnt possibl upon further inspect and test onli possibl option threadsafeti hole left unsynchron clearcooki method caus issu
HTTPCLIENT-386,1,there coupl place your catch interruptedioexcept should catch sockettimeoutexcept instead for exampl httpconnect codeseg here catch interruptedioexcept intend happen methodnam termin due methodnam time be reach howev could also occur becaus methodnam ha been call which case continu not should happen instead request should termin there legitim reason whi someon might want interrupt httpclient code exampl httpclient doe not provid hard timeout total length time request may take includ connect send request and receiv complet respons so enforc hard timeout necessari run request worker thread and interrupt if hasnt complet befor timeout expir techniqu use your timeoutcontrol class note sockettimeoutexcept ad 14 for compat older jdk version code can catch interruptedioexcept and use methodnam see whether sockettimeoutexcept there probabl other place code interruptedioexcept caught and interpret socket timeout and methodnam not have proper effect caus request termin asap but Im not familiar enough code find all
HTTPCLIENT-302,1,the execut method ha follow simplifi flow 1 get connect 2 write request 3 read result 4 releas connect the releas step 4 happen input complet read which work fine If except occur between step 1 and 2 connect also releas properli howev if except occur dure step 2 connect never releas back and connect manag eventu run out connect the easiest way test make simpl subclass postmethod overrid writerequest method codeseg codeseg codeseg
HTTPCLIENT-104,0,methodnam ha wrong debug messag see attach patch
HTTPCLIENT-85,1,the host request header alway ad just hostnam use connect If port differ than 80 need includ well colon separ hostnam thi problem especi appar use httpclient connect tomcat 4 and use httputil creat full url repres request httputil pull host and port host header when commonshttpcli use httputil never includ port sinc never host header
HTTPCLIENT-196,1,descript when use httpclient http tunnel througha proxi server after keep aliv connect time out server side the httpclient code unabl establish connect again caus the httpmethodbaseprocessrequest retri loop retri connect without go through connect request proxi server our proxi server return 407 error code In case tunnel connect proper reconnect should done first do connect sequenc get authent throught proxi temp fix and work around We implement some work around do retri applic layer In order detect situat have reli error messag contain httprecoverableexcept We check text connect abort peer socket write error We also have modifi httpmethodbas code throw httprecoverableexcept out applic
HTTPCLIENT-697,0,whether http sever endpoint down proxi server down get same stack trace codeseg It good if can get inform whether proxi down http endpoint
HTTPCLIENT-477,0,use httpclient 30 rc2 can not authent site use basic autent and proxi server use ntlm authent when indic preffer use ntlm over basic authent authent fail tri authent ntml proxi and site If indic basic ntlm authent order basic authent fail use proxi sinc basic authent cant send domain name fail the email thread discuss group past below reffer codeseg Hi all I am tri authent server via proxi which also requir authent It seem I can get either proxi authent work OR site authent work but not both both seem work independ I set credenti proxi credenti use ntcredenti eg if I connect site network not use proxi I can get work and I can authent proxi onli get 401 authent fail server use proxi I read authent tutori cant authent use ntlm both proxi and site so Im tri variou combin authent but I cant find ani document specif cover case and I feel like Im just take stab dark right now If anyon can point me direct light end tunnel Id realli appreci thank david On wed jun 29 2005 095307am 0700 david park wrote > Hi all > I am tri authent server via proxi which also requir authent It seem I can get either proxi authent work OR site authent work but not both > > both seem work independ I set credenti proxi credenti use ntcredenti eg if I connect site network not use proxi I can get work and I can authent proxi onli get 401 authent fail server use proxi > > I read authent tutori cant authent use ntlm both proxi and site so Im tri variou combin authent but I cant find ani document specif cover case and I feel like Im just take stab dark right now david you realli cant use ntlm authent proxi and target host same due natur authent scheme realli that not joke pleas consid use one follow combin instead 1 basic proxi + ntlm host if both clent and proxi within trust network segment 2 ntlm proxi + ssl + basic host both combin should provid adequ better latter case secur hope help oleg > > If anyon can point me direct light end tunnel Id realli appreci > > thank > david > > thank repli oleg thi I figur but I can not see use differ authent scheme proxi vs site authent challeng I tri ad code suggest authent tutori codeseg I got messag state attempt basic authent proxi and fail probabl becaus domain doesnt get pass I guess So my thought I need ntlm proxi authent and basic work site authent the question I am work direct httpclient select order authent method If I let take ntlm preffer authent method tri authent both challeng ntlm I sure just some littl detail Im miss here somewher it just hard find thank lot david david I see problem thi requir patch and new paramet luckili prefer api introduc httpclient 30 allow up add paramet quit easili pleas file featur request bugzilla asap and ill do my best hack up patch befor I leav holiday friday juli 1st oleg Hi oleg thank ill put request today thi help lot least I know Im right path now I am attempt devis workaround handl authent manual methodnam when I see 401 error I am process basic authent site credenti I see 407 error I want process ntlm authent proxi credenti To end I have follow code run after methodnam execut the code below work perfectli basic authent proxi not pictur In look up handshak ntlm authent I see I have problem code below sinc handshak includ 2 challeng and author step befor authent succe Im not clear I could manual authent ntlm respons I would expect ntlmscheme class contain type 1 and type 3 methodnam method process both challeng respons Is anoth way process ntlm authent after receiv initi authent challeng server codeseg codeseg codeseg codeseg codeseg codeseg codeseg codeseg codeseg codeseg codeseg codeseg codeseg codeseg codeseg thank david
HTTPCLIENT-1054,0,httpclient relentlessli spam stderr includ into project via maven thi not decent default behaviour libari libari should per default commun intern state sole and adequatli via api and let up applic react state log one such reaction from some repli ticket same vain I can see perhap sensit topic some see log core concern httpclient I do agre it help debug tool but such need optin As standard error output log httpclient absolut useless becaus doe not and can not describ applic tri do whi improv way disabl httclient log fact seem mani way alway bad sign Do googl search httpclient consol spam 204 hit harsh phrase alon search phrase ani other libari like use and compar number hit ask youself often have seen java standard libari write stdout stderr person I tri disabl via jdk14 methodnam which wouldnt work and now am use solut I found stackoverflow which codeseg the problem I have I includ lib and suddent my consol useless becaus httpclient all over write system monitor I have search googl find solut hyperlink doe not tell turn log off and logic one turn jdk logger doe not work right away it realli matter follow princip least supris libari not expect write consol which observ default behaviour httpclient and princip separ concern log concern applic and not libari follow least one would substanti increas joy work httpclient libari
HTTPCLIENT-1030,0,It would use implement ignorecooki cookiespec done common HC 31 thi should regist methodnam patch follow
